"Gene_name" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "GENENAME" "SYMBOL" "Biotype"
"ENSMUSG00000000378" 0.809228229247476 2.40773023404605 1.74868051794652 1.37688400444551 0.168548113341461 0.999614705850099 "cerebral cavernous malformation 2" "Ccm2" "protein_coding"
"ENSMUSG00000002550" 1.31393833875397 2.23912083996801 1.45991311418205 1.53373568482706 0.125094691034606 0.999614705850099 "uridine-cytidine kinase 1" "Uck1" "protein_coding"
"ENSMUSG00000003154" 1.64944969516731 2.71212608806263 1.41036872962343 1.92299079743974 0.0544812055909817 0.999614705850099 "forkhead box J2" "Foxj2" "protein_coding"
"ENSMUSG00000003199" 0.803486763018947 2.15341654724958 1.68642081963045 1.27691530025197 0.20163215181767 0.999614705850099 "MPN domain containing" "Mpnd" "protein_coding"
"ENSMUSG00000003444" 0.456727782396505 2.33708122743931 2.52738503543313 0.924703278160697 0.355120273769943 0.999614705850099 "mediator complex subunit 29" "Med29" "protein_coding"
"ENSMUSG00000003527" 1.196140993661 2.04431487955335 1.54924660122268 1.31955421295742 0.186983898521536 0.999614705850099 "DiGeorge syndrome critical region gene 14" "Dgcr14" "protein_coding"
"ENSMUSG00000003813" 1.41642795690879 2.42109725033693 1.38125255409678 1.7528273472914 0.079631647460027 0.999614705850099 "RAD23 homolog A, nucleotide excision repair protein" "Rad23a" "protein_coding"
"ENSMUSG00000004561" 1.12701438503286 2.08802288509341 1.68069257600435 1.24235860555619 0.214104281240798 0.999614705850099 "methyltransferase like 17" "Mettl17" "protein_coding"
"ENSMUSG00000005823" 1.12364351519594 2.84120978798918 1.69130907624662 1.6798879801996 0.092979112859153 0.999614705850099 "G protein-coupled receptor 108" "Gpr108" "protein_coding"
"ENSMUSG00000006154" 1.39611052661429 2.29425494231051 1.3855947712783 1.65579070437306 0.0977642109064722 0.999614705850099 "EPS8-like 1" "Eps8l1" "protein_coding"
"ENSMUSG00000008035" 0.881858112691203 2.48508294874038 1.69083693705236 1.4697354276354 0.141633423672089 0.999614705850099 "Mid1 interacting protein 1 (gastrulation specific G12-like (zebrafish))" "Mid1ip1" "protein_coding"
"ENSMUSG00000012126" 0.838493522270031 2.29170447064934 1.65051504544361 1.388478388595 0.164991421108888 0.999614705850099 "UBX domain protein 11" "Ubxn11" "protein_coding"
"ENSMUSG00000013419" 0.361202421543877 2.05622205628396 2.37295419598599 0.866524124132779 0.386202802814207 0.999614705850099 "zinc finger protein 651" "Zfp651" "protein_coding"
"ENSMUSG00000014329" 0.377440471370201 2.11196666491123 2.65176453319096 0.796438235173855 0.425777362015523 0.999614705850099 "BicC family RNA binding protein 1" "Bicc1" "protein_coding"
"ENSMUSG00000014782" 0.768659226547938 2.02957263737373 2.00403229993969 1.01274447394626 0.311182228889104 0.999614705850099 "pleckstrin homology domain containing, family G (with RhoGef domain) member 4" "Plekhg4" "protein_coding"
"ENSMUSG00000014852" 0.361202421543877 2.05622205628396 2.37295419598599 0.866524124132779 0.386202802814207 0.999614705850099 "a disintegrin-like and metallopeptidase (reprolysin type) with thrombospondin type 1 motif, 13" "Adamts13" "protein_coding"
"ENSMUSG00000015092" 0.486918422605446 2.55445705221489 2.39449952354071 1.06680207162357 0.286061222915308 0.999614705850099 "endothelial differentiation-related factor 1" "Edf1" "protein_coding"
"ENSMUSG00000015189" 1.68571985702773 2.01920205489049 1.31868871118535 1.53121964096854 0.125715118163813 0.999614705850099 "CAS1 domain containing 1" "Casd1" "protein_coding"
"ENSMUSG00000015971" 0.400846077057029 2.16740097537752 2.31749583999054 0.935234030619177 0.34966770432215 0.999614705850099 "ARP8 actin-related protein 8" "Actr8" "protein_coding"
"ENSMUSG00000016427" 0.400666854276954 2.18533350154627 2.61115623221361 0.83692177227314 0.402636541268405 0.999614705850099 "NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 1" "Ndufa1" "protein_coding"
"ENSMUSG00000017176" 0.788466528564504 2.24874425520211 1.98252620973626 1.13428223251649 0.256676179598701 0.999614705850099 "5'-nucleotidase, cytosolic IIIB" "Nt5c3b" "protein_coding"
