"Gene_name" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "GENENAME" "SYMBOL" "Biotype"
"ENSMUSG00000000278" 0.974360855084575 3.41408507714504 3.56492576563843 0.957687565349239 0.338220328845329 0.999916699096417 "serine carboxypeptidase 1" "Scpep1" "protein_coding"
"ENSMUSG00000000530" 0.724360855084575 2.98733692424525 4.37125468801008 0.683404911738321 0.494351017194224 0.999916699096417 "activin A receptor, type II-like 1" "Acvrl1" "protein_coding"
"ENSMUSG00000000902" 0.987180427542287 3.43121047280038 3.56161420489024 0.96338633984815 0.335353678917223 0.999916699096417 "SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1" "Smarcb1" "protein_coding"
"ENSMUSG00000001098" 1.21787223731554 2.01187430283392 2.95304092848747 0.681289000577579 0.495688641844569 0.999916699096417 "potassium channel tetramerisation domain containing 10" "Kctd10" "protein_coding"
"ENSMUSG00000003062" 1.50473945403011 2.27501231179518 2.61595190792584 0.86966901222546 0.384481311381957 0.999916699096417 "STARD3 N-terminal like" "Stard3nl" "protein_coding"
"ENSMUSG00000003779" 2.64728575725794 2.18557067038397 1.71807038071295 1.2721077639887 0.203334832987543 0.999916699096417 "kinesin family member 20A" "Kif20a" "protein_coding"
"ENSMUSG00000003923" 4.01421836209034 2.05536240852158 1.39338740685452 1.47508323845227 0.140190166187025 0.999916699096417 "transcription factor A, mitochondrial" "Tfam" "protein_coding"
"ENSMUSG00000004500" 1.21787223731554 2.01187430283392 2.95304092848747 0.681289000577579 0.495688641844569 0.999916699096417 "zinc finger protein 324" "Zfp324" "protein_coding"
"ENSMUSG00000004665" 1.44872171016915 3.98785826041662 2.75080001288579 1.44970853632979 0.147139814284762 0.999916699096417 "calponin 2" "Cnn2" "protein_coding"
"ENSMUSG00000004895" 1.44223309240011 2.30891781837644 2.64187358747839 0.873969833121445 0.38213468240578 0.999916699096417 "papillary renal cell carcinoma (translocation-associated)" "Prcc" "protein_coding"
"ENSMUSG00000005131" 0.737180427542287 3.01064179896769 4.32184943082646 0.696609599004926 0.486047146975843 0.999916699096417 "RIKEN cDNA 4930550C14 gene" "4930550C14Rik" "protein_coding"
"ENSMUSG00000007097" 0.737180427542287 3.01064179896769 4.32184943082646 0.696609599004926 0.486047146975843 0.999916699096417 "ATPase, Na+/K+ transporting, alpha 2 polypeptide" "Atp1a2" "protein_coding"
"ENSMUSG00000007589" 1.69223309240011 2.57616539235944 2.40779637941439 1.06992659943529 0.284652349061991 0.999916699096417 "Terf1 (TRF1)-interacting nuclear factor 2" "Tinf2" "protein_coding"
"ENSMUSG00000008167" 0.987180427542287 3.43121047280038 3.56161420489024 0.96338633984815 0.335353678917223 0.999916699096417 "F-box and WD-40 domain protein 9" "Fbxw9" "protein_coding"
"ENSMUSG00000013076" 2.46628073665698 3.1264039998059 2.00720702638034 1.55758920665192 0.119330658907541 0.999916699096417 "angiomotin-like 1" "Amotl1" "protein_coding"
"ENSMUSG00000014301" 0.974360855084575 3.41408507714504 3.56492576563843 0.957687565349239 0.338220328845329 0.999916699096417 "presequence translocase-asssociated motor 16 homolog (S. cerevisiae)" "Pam16" "protein_coding"
"ENSMUSG00000015536" 1.69223309240011 2.57616539235944 2.40779637941439 1.06992659943529 0.284652349061991 0.999916699096417 "molybdenum cofactor synthesis 2" "Mocs2" "protein_coding"
"ENSMUSG00000015747" 1.22436085508457 3.74277348533633 3.06350357698472 1.22172975852053 0.22180983884321 0.999916699096417 "vacuolar protein sorting 45" "Vps45" "protein_coding"
"ENSMUSG00000015971" 1.46154128262686 3.99903908183089 2.72584144957949 1.46708425849486 0.142353135763617 0.999916699096417 "ARP8 actin-related protein 8" "Actr8" "protein_coding"
