"Gene_name" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "GENENAME" "SYMBOL" "Biotype"
"ENSMUSG00000000295" 2.54187751576295 2.12399754919806 2.02631446319453 1.04820726880147 0.294543122323367 0.990673453696216 "HD domain containing 2" "Hddc2" "protein_coding"
"ENSMUSG00000000325" 0.777602684504544 3.14968204797284 3.50895841732752 0.897611676564605 0.369392611735322 0.990673453696216 "armadillo repeat gene deleted in velocardiofacial syndrome" "Arvcf" "protein_coding"
"ENSMUSG00000000326" 0.763801342252272 3.12710181882255 3.53145935573721 0.88549845936702 0.375887850173247 0.990673453696216 "catechol-O-methyltransferase" "Comt" "protein_coding"
"ENSMUSG00000000958" 1.04140402675682 3.5703660031993 3.14455901306042 1.13541071685103 0.256203271480394 0.990673453696216 "solute carrier family 7 (cationic amino acid transporter, y+ system), member 7" "Slc7a7" "protein_coding"
"ENSMUSG00000001366" 0.791404026756816 3.1727659323995 3.79980289747952 0.834981712999917 0.403728004781175 0.990673453696216 "f-box protein 9" "Fbxo9" "protein_coding"
"ENSMUSG00000001376" 1.26403808675534 2.11267886347864 2.78486854477985 0.758627859630498 0.44807520221081 0.990673453696216 "VPS50 EARP/GARPII complex subunit" "Vps50" "protein_coding"
"ENSMUSG00000001569" 1.79454236194363 2.70388288514249 2.48738000988934 1.08704053035418 0.277018898009025 0.990673453696216 "nucleolar protein with MIF4G domain 1" "Nom1" "protein_coding"
"ENSMUSG00000002109" 1.27783942900761 2.12881107302377 2.80149894365548 0.759882875503081 0.447324598551452 0.990673453696216 "damage specific DNA binding protein 2" "Ddb2" "protein_coding"
"ENSMUSG00000002395" 1.26403808675534 2.11267886347864 2.78486854477985 0.758627859630498 0.44807520221081 0.990673453696216 "unconventional SNARE in the ER 1 homolog (S. cerevisiae)" "Use1" "protein_coding"
"ENSMUSG00000002550" 1.01380134225227 3.53640116161023 3.17258448887931 1.11467517224717 0.264989644073613 0.990673453696216 "uridine-cytidine kinase 1" "Uck1" "protein_coding"
