"Gene_name" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "GENENAME" "SYMBOL" "Biotype"
"ENSMUSG00000000711" 0.686782781528383 2.90742982898821 4.01115420478019 0.724836214355299 0.468552515986251 0.999948655132935 "RAB5B, member RAS oncogene family" "Rab5b" "protein_coding"
"ENSMUSG00000000958" 0.733468004491295 2.99229512652935 3.5823980370059 0.835277123206066 0.40356169486818 0.999948655132935 "solute carrier family 7 (cationic amino acid transporter, y+ system), member 7" "Slc7a7" "protein_coding"
"ENSMUSG00000001366" 1.21466580365834 3.72116260856294 2.93596020849396 1.26744313420779 0.204996884727484 0.999948655132935 "f-box protein 9" "Fbxo9" "protein_coding"
"ENSMUSG00000001700" 0.710125393009839 2.95120727127975 3.62452612857275 0.814232582851282 0.415511722892397 0.999948655132935 "GRAM domain containing 3" "Gramd3" "protein_coding"
"ENSMUSG00000002083" 0.733468004491295 2.99229512652935 3.5823980370059 0.835277123206066 0.40356169486818 0.999948655132935 "BCL2 binding component 3" "Bbc3" "protein_coding"
"ENSMUSG00000002103" 0.686782781528383 2.90742982898821 4.01115420478019 0.724836214355299 0.468552515986251 0.999948655132935 "acid phosphatase 2, lysosomal" "Acp2" "protein_coding"
"ENSMUSG00000002845" 1.4880084151398 2.30141463605279 2.66993049459087 0.861975486146671 0.388701007656301 0.999948655132935 "transmembrane protein 39a" "Tmem39a" "protein_coding"
"ENSMUSG00000002846" 0.710125393009839 2.95120727127975 3.62452612857275 0.814232582851282 0.415511722892397 0.999948655132935 "translocase of inner mitochondrial membrane domain containing 1" "Timmdc1" "protein_coding"
"ENSMUSG00000002910" 0.733468004491295 2.99229512652935 3.5823980370059 0.835277123206066 0.40356169486818 0.999948655132935 "arrestin domain containing 2" "Arrdc2" "protein_coding"
"ENSMUSG00000002985" 0.710125393009839 2.95120727127975 3.62452612857275 0.814232582851282 0.415511722892397 0.999948655132935 "apolipoprotein E" "Apoe" "protein_coding"
"ENSMUSG00000003154" 0.962395598334089 3.38694141410898 3.20276146404129 1.05750660863619 0.29028044013538 0.999948655132935 "forkhead box J2" "Foxj2" "protein_coding"
"ENSMUSG00000003363" 1.44132319217688 2.25420878934526 2.65681420370573 0.848463090193165 0.396180119679015 0.999948655132935 "phospholipase D family, member 3" "Pld3" "protein_coding"
"ENSMUSG00000003541" 1.46466580365834 2.27786816342033 2.64568427199894 0.8609750556892 0.389251781599879 0.999948655132935 "immediate early response 3" "Ier3" "protein_coding"
"ENSMUSG00000003721" 1.97147641963109 4.41762835951408 2.50362686074912 1.76449151779441 0.0776492621836066 0.999948655132935 "insulin induced gene 2" "Insig2" "protein_coding"
"ENSMUSG00000003752" 0.710125393009839 2.95120727127975 3.62452612857275 0.814232582851282 0.415511722892397 0.999948655132935 "inositol 1,4,5-trisphosphate 3-kinase C" "Itpkc" "protein_coding"
"ENSMUSG00000003848" 0.733468004491295 2.99229512652935 3.5823980370059 0.835277123206066 0.40356169486818 0.999948655132935 "NIN1/RPN12 binding protein 1 homolog" "Nob1" "protein_coding"
"ENSMUSG00000003868" 0.939052986852633 3.3557223391365 3.25637873818888 1.03050738533039 0.3027718871722 0.999948655132935 "RuvB-like protein 2" "Ruvbl2" "protein_coding"
"ENSMUSG00000005069" 1.67025078601968 2.50915492991524 2.53585173175897 0.98947225442664 0.322432138258956 0.999948655132935 "peroxisomal biogenesis factor 5" "Pex5" "protein_coding"
"ENSMUSG00000005465" 0.756810615972751 3.03373188285928 3.86369925826971 0.785188411433938 0.432343108951231 0.999948655132935 "interleukin 27 receptor, alpha" "Il27ra" "protein_coding"
"ENSMUSG00000005470" 0.733468004491295 2.99229512652935 3.5823980370059 0.835277123206066 0.40356169486818 0.999948655132935 "anti-silencing function 1B histone chaperone" "Asf1b" "protein_coding"
"ENSMUSG00000005804" 1.21466580365834 3.72116260856294 2.93596020849396 1.26744313420779 0.204996884727484 0.999948655132935 "biogenesis of lysosomal organelles complex-1, subunit 6, pallidin" "Bloc1s6" "protein_coding"
"ENSMUSG00000005823" 0.985738209815545 3.41752141563363 3.20378660291023 1.06671318636804 0.286101370769816 0.999948655132935 "G protein-coupled receptor 108" "Gpr108" "protein_coding"
"ENSMUSG00000005907" 2.63264638435377 3.25404278305653 2.20734091911927 1.4741913017926 0.140430091161422 0.999948655132935 "peroxisomal biogenesis factor 1" "Pex1" "protein_coding"
"ENSMUSG00000005949" 0.733468004491295 2.99229512652935 3.5823980370059 0.835277123206066 0.40356169486818 0.999948655132935 "cystinosis, nephropathic" "Ctns" "protein_coding"
"ENSMUSG00000006215" 0.985738209815545 3.41752141563363 3.20378660291023 1.06671318636804 0.286101370769816 0.999948655132935 "zinc finger and BTB domain containing 17" "Zbtb17" "protein_coding"
"ENSMUSG00000006373" 1.41798058069543 2.22998529555949 2.7036477275407 0.824806158303742 0.40948164984237 0.999948655132935 "progesterone receptor membrane component 1" "Pgrmc1" "protein_coding"
"ENSMUSG00000006392" 0.710125393009839 2.95120727127975 3.62452612857275 0.814232582851282 0.415511722892397 0.999948655132935 "mediator complex subunit 8" "Med8" "protein_coding"
"ENSMUSG00000006527" 1.51135102662125 2.3262255236349 2.8480952436966 0.816765355296069 0.4140625343059 0.999948655132935 "Scm-like with four mbt domains 1" "Sfmbt1" "protein_coding"
"ENSMUSG00000006728" 0.686782781528383 2.90742982898821 4.01115420478019 0.724836214355299 0.468552515986251 0.999948655132935 "cyclin-dependent kinase 4" "Cdk4" "protein_coding"
"ENSMUSG00000006818" 0.710125393009839 2.95120727127975 3.62452612857275 0.814232582851282 0.415511722892397 0.999948655132935 "superoxide dismutase 2, mitochondrial" "Sod2" "protein_coding"
"ENSMUSG00000007050" 0.686782781528383 2.90742982898821 4.01115420478019 0.724836214355299 0.468552515986251 0.999948655132935 "LSM2 homolog, U6 small nuclear RNA and mRNA degradation associated" "Lsm2" "protein_coding"
"ENSMUSG00000008036" 0.733468004491295 2.99229512652935 3.5823980370059 0.835277123206066 0.40356169486818 0.999948655132935 "adaptor-related protein complex 2, sigma 1 subunit" "Ap2s1" "protein_coding"
"ENSMUSG00000009733" 0.733468004491295 2.99229512652935 3.5823980370059 0.835277123206066 0.40356169486818 0.999948655132935 "transcription factor CP2" "Tfcp2" "protein_coding"
