"1" "Foxj2" "Vps45" "Gpr108" "Vps45" "Foxj2" "Acp2" "Mpdu1" "Fancl"
"2" "Eps8l1" "Tec" "Cdk9" "Mpdu1" "Mpnd" "Gpr108" "Cry1" "Zfp607a"
"3" "Wif1" "Cmtm7" "Actr8" "Cry1" "Casd1" "Trip10" "Mtbp" "Emc3"
"4" "Rbm22" "Poglut1" "Cry1" "Zfp607a" "Actr8" "Cry1" "Galk2" "Tstd2"
"5" "Ndufaf4" "Iffo1" "Zfp251" "Tfeb" "Cry1" "Aaed1" "Poglut1" "Iffo1"
"6" "Traip" "Plekhg5" "Slc26a6" "Mettl26" "Arhgap1" "Tarbp2" "Tstd2" "Snrnp25"
"7" "Dis3" "Mapk1ip1" "Map1a" "Ptpn14" "Epb41l1" "Adam15" "Iffo1" "Zfp758"
"8" "Coil" "Kbtbd7" "Ndufaf4" "Tor1a" "Rit1" "Rab35" NA NA
"9" "Commd2" NA "Tstd2" "Coq9" "Cenpn" "Zyx" NA "Hoxd4"
"10" "Mapk1ip1" "Zfp758" "Card19" "Mlh1" "Cmtm7" "Ift122" NA NA
"11" "Ypel3" "Slc25a26" "Ccdc92" "Cirbp" "Traip" "Pgap2" NA NA
"12" NA "Zfp667" "Ptov1" "Wdr81" "Ccdc138" "Card19" NA NA
"13" "Cfap46" "Gm14326" "Daglb" "Zfp710" "Lap3" NA NA NA
"14" "Zic2" NA "Snrnp25" NA "Cir1" "Zfp758" NA NA
"15" NA NA NA "Zfp27" "Zfp758" "St7l" NA NA
"16" NA NA "Fbl" NA "Sephs2" NA NA NA
"17" NA NA "Zic2" NA NA NA NA NA
"18" NA NA NA NA "Rcan3" NA NA NA
"19" NA NA NA NA "Psmb3" NA NA NA
