"Uni_gene" "Freq" "ENSEMBL" "GENENAME" "Biotype"
"Aaed1" 5 "ENSMUSG00000021482" "AhpC/TSA antioxidant enzyme domain containing 1" "protein_coding"
"Acp2" 5 "ENSMUSG00000002103" "acid phosphatase 2, lysosomal" "protein_coding"
"Actr8" 8 "ENSMUSG00000015971" "ARP8 actin-related protein 8" "protein_coding"
"Adam15" 5 "ENSMUSG00000028041" "a disintegrin and metallopeptidase domain 15 (metargidin)" "protein_coding"
"Angel2" 8 "ENSMUSG00000026634" "angel homolog 2" "protein_coding"
"Apba1" 6 "ENSMUSG00000024897" "amyloid beta (A4) precursor protein binding, family A, member 1" "protein_coding"
"Arrdc3" 5 "ENSMUSG00000074794" "arrestin domain containing 3" "protein_coding"
"Ccdc138" 5 "ENSMUSG00000038010" "coiled-coil domain containing 138" "protein_coding"
"Ccdc92" 5 "ENSMUSG00000037979" "coiled-coil domain containing 92" "protein_coding"
"Ccne2" 5 "ENSMUSG00000028212" "cyclin E2" "protein_coding"
"Coq10a" 6 "ENSMUSG00000039914" "coenzyme Q10A" "protein_coding"
"Cry1" 8 "ENSMUSG00000020038" "cryptochrome 1 (photolyase-like)" "protein_coding"
"Dis3" 5 "ENSMUSG00000033166" "DIS3 homolog, exosome endoribonuclease and 3'-5' exoribonuclease" "protein_coding"
"Dnaaf2" 6 "ENSMUSG00000020973" "dynein, axonemal assembly factor 2" "protein_coding"
"Edf1" 6 "ENSMUSG00000015092" "endothelial differentiation-related factor 1" "protein_coding"
"Emc3" 6 "ENSMUSG00000030286" "ER membrane protein complex subunit 3" "protein_coding"
"Fancf" 5 "ENSMUSG00000092118" "Fanconi anemia, complementation group F" "protein_coding"
"Foxj2" 7 "ENSMUSG00000003154" "forkhead box J2" "protein_coding"
"Galk2" 5 "ENSMUSG00000027207" "galactokinase 2" "protein_coding"
"Get4" 6 "ENSMUSG00000025858" "golgi to ER traffic protein 4" "protein_coding"
"Glul" 5 "ENSMUSG00000026473" "glutamate-ammonia ligase (glutamine synthetase)" "protein_coding"
"Gm14326" 7 "ENSMUSG00000078862" "predicted gene 14326" "protein_coding"
"Gpr108" 7 "ENSMUSG00000005823" "G protein-coupled receptor 108" "protein_coding"
"Hmbs" 5 "ENSMUSG00000032126" "hydroxymethylbilane synthase" "protein_coding"
"Iffo1" 7 "ENSMUSG00000038271" "intermediate filament family orphan 1" "protein_coding"
"Kbtbd7" 6 "ENSMUSG00000043881" "kelch repeat and BTB (POZ) domain containing 7" "protein_coding"
"Mapk1ip1" 7 "ENSMUSG00000041775" "mitogen-activated protein kinase 1 interacting protein 1" "protein_coding"
"Mlh1" 5 "ENSMUSG00000032498" "mutL homolog 1" "protein_coding"
"Mpnd" 5 "ENSMUSG00000003199" "MPN domain containing" "protein_coding"
"Mrto4" 5 "ENSMUSG00000028741" "mRNA turnover 4, ribosome maturation factor" "protein_coding"
"Nnat" 6 "ENSMUSG00000067786" "neuronatin" "protein_coding"
"Pfkfb1" 5 "ENSMUSG00000025271" "6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1" "protein_coding"
"Plekhg5" 5 "ENSMUSG00000039713" "pleckstrin homology domain containing, family G (with RhoGef domain) member 5" "protein_coding"
"Plscr3" 5 "ENSMUSG00000019461" "phospholipid scramblase 3" "protein_coding"
"Poglut1" 7 "ENSMUSG00000034064" "protein O-glucosyltransferase 1" "protein_coding"
"Prcp" 6 "ENSMUSG00000061119" "prolylcarboxypeptidase (angiotensinase C)" "protein_coding"
"Rgs12" 5 "ENSMUSG00000029101" "regulator of G-protein signaling 12" "protein_coding"
"Rit1" 6 "ENSMUSG00000028057" "Ras-like without CAAX 1" "protein_coding"
"Rpl14-ps1" 7 "ENSMUSG00000046721" "ribosomal protein L14, pseudogene 1" "pseudogene"
"Sag" 5 "ENSMUSG00000056055" "S-antigen, retina and pineal gland (arrestin)" "protein_coding"
"Slc16a6" 5 "ENSMUSG00000041920" "solute carrier family 16 (monocarboxylic acid transporters), member 6" "protein_coding"
"Supt4a" 5 "ENSMUSG00000020485" "suppressor of Ty 4A" "protein_coding"
"Supt4b" 5 "ENSMUSG00000020485" "suppressor of Ty 4B" "protein_coding"
"Tas1r3" 5 "ENSMUSG00000029072" "taste receptor, type 1, member 3" "protein_coding"
"Tfeb" 5 "ENSMUSG00000023990" "transcription factor EB" "protein_coding"
"Tmod1" 5 "ENSMUSG00000028328" "tropomodulin 1" "protein_coding"
"Uckl1" 6 "ENSMUSG00000089917" "uridine-cytidine kinase 1-like 1" "protein_coding"
"Vps45" 5 "ENSMUSG00000015747" "vacuolar protein sorting 45" "protein_coding"
"Zan" 5 "ENSMUSG00000079173" "zonadhesin" "protein_coding"
"Zfp39" 5 "ENSMUSG00000037001" "zinc finger protein 39" "protein_coding"
"Zfp607a" 6 "ENSMUSG00000020420" "zinc finger protein 607A" "protein_coding"
"Zfp758" 8 "ENSMUSG00000044501" "zinc finger protein 758" "protein_coding"
"Zfp956" 5 "ENSMUSG00000045466" "zinc finger protein 956" "protein_coding"
"Zic2" 8 "ENSMUSG00000061524" "zinc finger protein of the cerebellum 2" "protein_coding"
