"Gene_name" "baseMean" "log2FoldChange" "lfcSE" "stat" "pvalue" "padj" "GENENAME" "SYMBOL" "Biotype"
"ENSMUSG00000000399" 0.750769253460315 3.03427131154587 3.55960701074789 0.852417500691561 0.393982410233497 0.999935055461678 "NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 9" "Ndufa9" "protein_coding"
"ENSMUSG00000000486" 1.98699157190457 2.80300072258291 2.40260494709614 1.16665069135511 0.243351463192779 0.999935055461678 "predicted gene 4532" "Gm4532" "protein_coding"
"ENSMUSG00000000486" 1.98699157190457 2.80300072258291 2.40260494709614 1.16665069135511 0.243351463192779 0.999935055461678 "septin 1" "Sept1" "protein_coding"
"ENSMUSG00000000976" 4.16080623648037 2.19513602337758 1.63692508902611 1.34101189974648 0.179916589084585 0.999935055461678 "HEAT repeat containing 6" "Heatr6" "protein_coding"
"ENSMUSG00000001366" 0.987204655711109 3.43167779662671 3.18101512921134 1.07879958353971 0.28067708055962 0.999935055461678 "f-box protein 9" "Fbxo9" "protein_coding"
"ENSMUSG00000002550" 0.730037730106349 2.99877787939635 3.59564685359919 0.834002337130136 0.404279666851009 0.999935055461678 "uridine-cytidine kinase 1" "Uck1" "protein_coding"
"ENSMUSG00000002728" 1.47188556360894 2.30105980963633 2.64565799348438 0.869749535012949 0.384437295445711 0.999935055461678 "N(alpha)-acetyltransferase 20, NatB catalytic subunit" "Naa20" "protein_coding"
"ENSMUSG00000002845" 1.70909312294584 2.55592310998643 2.52435903842713 1.01250379644053 0.311297232406588 0.999935055461678 "transmembrane protein 39a" "Tmem39a" "protein_coding"
"ENSMUSG00000002983" 1.27768536515218 2.03954483087406 3.01240890176223 0.677047803729749 0.498375624539136 0.999935055461678 "avian reticuloendotheliosis viral (v-rel) oncogene related B" "Relb" "protein_coding"
"ENSMUSG00000002985" 0.750769253460315 3.03427131154587 3.55960701074789 0.852417500691561 0.393982410233497 0.999935055461678 "apolipoprotein E" "Apoe" "protein_coding"
"ENSMUSG00000003099" 1.70909312294584 2.55592310998643 2.52435903842713 1.01250379644053 0.311297232406588 0.999935055461678 "protein phosphatase 5, catalytic subunit" "Ppp5c" "protein_coding"
"ENSMUSG00000003154" 1.71724238581746 4.23141055958145 2.59700528255331 1.62934229976661 0.10324057622871 0.999935055461678 "forkhead box J2" "Foxj2" "protein_coding"
"ENSMUSG00000003199" 1.47188556360894 2.30105980963633 2.64565799348438 0.869749535012949 0.384437295445711 0.999935055461678 "MPN domain containing" "Mpnd" "protein_coding"
"ENSMUSG00000003269" 1.00793617906508 3.45813318534985 3.18575299908535 1.08549946789431 0.277700499236374 0.999935055461678 "cytohesin 2" "Cyth2" "protein_coding"
"ENSMUSG00000003527" 1.27691320806608 2.04106359575455 3.01304747939496 0.677408374648118 0.498146886283432 0.999935055461678 "DiGeorge syndrome critical region gene 14" "Dgcr14" "protein_coding"
"ENSMUSG00000003545" 2.0284546186125 2.83250706357571 2.45118070275618 1.15556844111524 0.247857722861171 0.999935055461678 "FBJ osteosarcoma oncogene B" "Fosb" "protein_coding"
"ENSMUSG00000003721" 1.95367778806825 4.41829665638154 2.49014216343042 1.77431502557062 0.0760110565582386 0.999935055461678 "insulin induced gene 2" "Insig2" "protein_coding"
